id,open,high,low,close
327,3356.475,3356.855,3356.098,3356.498
328,3356.498,3356.798,3356.275,3356.415
329,3356.365,3356.365,3355.505,3355.505
330,3355.535,3355.845,3355.275,3355.345
331,3355.325,3356.215,3355.185,3355.765
332,3355.735,3355.975,3355.205,3355.235
333,3355.265,3355.505,3355.198,3355.295
334,3355.298,3355.935,3354.798,3355.575
335,3355.595,3356.315,3355.105,3355.398
336,3355.398,3355.698,3354.655,3354.698
337,3354.698,3356.915,3354.498,3356.705
338,3356.735,3357.098,3356.598,3356.698
339,3356.698,3356.798,3356.198,3356.498
340,3356.498,3356.598,3355.598,3355.598
341,3355.598,3355.598,3354.375,3355.115
342,3355.105,3356.355,3355.038,3356.285
343,3356.225,3356.505,3355.745,3355.745
344,3355.705,3356.145,3355.415,3355.995
345,3356.015,3356.995,3355.505,3356.865
346,3356.885,3357.615,3356.775,3357.425
347,3357.445,3357.955,3357.125,3357.655
348,3357.715,3358.365,3357.625,3358.165
349,3358.115,3358.815,3357.855,3358.548
350,3358.565,3358.995,3358.565,3358.785
351,3358.795,3359.235,3358.318,3359.205
352,3359.235,3359.365,3357.435,3357.635
353,3357.655,3357.675,3357.295,3357.408
354,3357.408,3357.408,3356.355,3356.385
355,3356.405,3356.645,3355.515,3356.155
356,3356.105,3356.105,3354.045,3354.505
357,3354.495,3355.225,3354.255,3354.875
358,3354.835,3355.935,3354.595,3355.405
359,3355.445,3355.505,3354.225,3354.515
360,3354.545,3354.985,3354.485,3354.725
361,3354.695,3354.945,3354.135,3354.665
362,3354.635,3354.735,3354.045,3354.165
363,3354.105,3354.755,3354.025,3354.335
364,3354.355,3355.455,3353.995,3354.105
365,3354.135,3355.455,3353.575,3355.295
366,3355.335,3356.575,3355.245,3356.575
367,3356.645,3356.685,3356.045,3356.135
368,3356.155,3356.475,3355.835,3355.975
369,3355.925,3356.885,3355.885,3356.495
370,3356.525,3357.025,3356.265,3356.925
371,3356.915,3357.545,3356.725,3356.945
372,3356.935,3356.935,3355.575,3355.805
373,3355.785,3356.565,3355.745,3356.565
374,3356.595,3357.455,3356.545,3357.395
375,3357.425,3357.505,3356.995,3357.195
376,3357.235,3357.475,3357.115,3357.425
377,3357.375,3357.605,3357.155,3357.425
378,3357.405,3357.465,3357.175,3357.305
379,3357.275,3357.435,3357.095,3357.165
380,3357.145,3357.335,3357.035,3357.195
381,3357.165,3357.255,3356.735,3356.865
382,3356.908,3357.945,3356.885,3357.875
383,3357.845,3357.885,3356.705,3356.775
384,3356.745,3357.465,3356.725,3357.025
385,3356.965,3357.395,3356.715,3357.225
386,3357.195,3358.095,3357.105,3357.155
